group,time,IFlu,IRSV
8,30,0.0076263,0.025068
8,31,0.0059301,0.025265
8,32,0.0043686,0.024122
8,33,0.0030927,0.021922
8,34,0.0021262,0.019057
8,35,0.0014297,0.01592
8,36,0.00094466,0.012839
8,37,0.0006152,0.010039
8,38,0.0003957,0.007641
8,39,0.00025188,0.0056843
8,40,0.00015899,0.0041497
8,41,9.9713e-05,0.0029852
8,42,6.2344e-05,0.0021255
8,43,3.8978e-05,0.0015048
8,44,2.4442e-05,0.0010644
8,45,1.5457e-05,0.00075616
8,46,9.881e-06,0.00054217
8,47,6.4249e-06,0.00039453
8,48,4.2609e-06,0.00029284
8,49,2.8968e-06,0.00022289
8,50,2.0265e-06,0.00017482
8,51,1.4644e-06,0.00014196
8,52,1.0971e-06,0.00011988
8,53,8.5464e-07,0.00010568
8,54,6.9417e-07,9.7594e-05
8,55,5.8916e-07,9.4678e-05
8,56,5.2334e-07,9.6701e-05
8,57,4.8706e-07,0.00010414
8,58,4.7515e-07,0.00011835
8,59,4.8579e-07,0.00014194
8,60,5.2012e-07,0.00017953
8,61,5.8234e-07,0.00023908
8,62,6.8043e-07,0.00033454
