group,time,susceptible,infected,recovered
7,34,0.82844,0.023165,0.1484
7,35,0.79311,0.042151,0.16474
7,36,0.73503,0.068695,0.19627
7,37,0.65728,0.096801,0.24592
7,38,0.57366,0.11594,0.3104
7,39,0.50017,0.11942,0.38042
7,40,0.44618,0.10886,0.44497
7,41,0.41317,0.090239,0.49659
7,42,0.39677,0.070505,0.53273
7,43,0.39264,0.052779,0.55458
7,44,0.39717,0.038215,0.56462
7,45,0.40768,0.026946,0.56538
7,46,0.42207,0.018568,0.55937
7,47,0.43883,0.012538,0.54863
7,48,0.45687,0.0082728,0.53486
7,49,0.4755,0.005363,0.51914
7,50,0.49422,0.0033993,0.50238
7,51,0.51273,0.0021184,0.48515
7,52,0.53083,0.0012959,0.46788
7,53,0.54841,0.00078273,0.4508
7,54,0.56543,0.00046759,0.4341
7,55,0.58186,0.00027758,0.41786
7,56,0.59769,0.00016476,0.40214
7,57,0.61295,9.81e-05,0.38696
7,58,0.62763,5.9175e-05,0.37231
7,59,0.64176,3.622e-05,0.3582
7,60,0.65536,2.2812e-05,0.34462
7,61,0.66844,1.4738e-05,0.33154
7,62,0.68103,9.9245e-06,0.31896
7,63,0.69315,6.9849e-06,0.30685
7,64,0.7048,5.1753e-06,0.2952
7,65,0.71601,4.0609e-06,0.28399
7,66,0.72679,3.3611e-06,0.27321
7,67,0.73717,2.9614e-06,0.26283
7,68,0.74715,2.843e-06,0.25285
7,69,0.75675,2.9157e-06,0.24325
